--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| ID         | Export Quantity      | Price           | Total Price          | Total Quantity       | Export Time          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| BAN00001   | 1                    | 20000           | 20000                | 989                  | 13/04/2023 21:27:37 
| BAN00002   | 1                    | 20000           | 20000                | 994                  | 13/04/2023 21:27:37 
| BAN00005   | 1                    | 15000           | 15000                | 990                  | 13/04/2023 21:27:37 
| MIL00001   | 2                    | 8000            | 16000                | 998                  | 13/04/2023 21:10:21 
| MIL00002   | 4                    | 8000            | 32000                | 991                  | 13/04/2023 21:10:21 
| SOJ00002   | 1                    | 25000           | 25000                | 999                  | 13/04/2023 21:10:21 
| COC00001   | 1                    | 10000           | 10000                | 994                  | 13/04/2023 21:10:21 
| LAV00001   | 2                    | 5000            | 10000                | 998                  | 13/04/2023 21:10:21 
| BAN00003   | 5                    | 20000           | 100000               | 990                  | 13/04/2023 21:10:21 
| SAL00001   | 5                    | 20000           | 100000               | 990                  | 13/04/2023 21:10:21 
| BAN00005   | 5                    | 15000           | 75000                | 991                  | 13/04/2023 21:10:21 
| BAN00001   | 5                    | 20000           | 100000               | 990                  | 13/04/2023 21:10:21 
| BAN00002   | 5                    | 20000           | 100000               | 995                  | 13/04/2023 21:05:30 
| BAN00006   | 5                    | 17000           | 85000                | 995                  | 13/04/2023 21:05:30 
| BAN00003   | 5                    | 20000           | 100000               | 995                  | 13/04/2023 21:05:30 
| SAL00001   | 5                    | 20000           | 100000               | 995                  | 13/04/2023 21:05:30 
| SAN00002   | 5                    | 20000           | 100000               | 995                  | 13/04/2023 21:05:30 
| BAN00005   | 4                    | 15000           | 60000                | 996                  | 13/04/2023 21:05:30 
| BAN00004   | 5                    | 15000           | 75000                | 995                  | 13/04/2023 21:05:30 
| BAN00001   | 5                    | 20000           | 100000               | 995                  | 13/04/2023 21:05:30 
| MIL00002   | 5                    | 8000            | 40000                | 995                  | 13/04/2023 21:05:30 
| COC00001   | 5                    | 10000           | 50000                | 995                  | 13/04/2023 21:05:30 
