--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| No    | ID         | Quantity | Price      | Date        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1     | KOR0001    | 50       | 25000      | 09-04-2023
| 2     | KOR0002    | 35       | 25000      | 09-04-2023
| 3     | PIZ0001    | 150      | 37000      | 09-04-2023
| 4     | SAL0001    | 75       | 25000      | 09-04-2023
| 5     | SAW0001    | 50       | 25000      | 09-04-2023
| 6     | SAW0002    | 50       | 25000      | 09-04-2023
| 7     | SNA0001    | 200      | 19000      | 09-04-2023
| 8     | SNA0002    | 40       | 25000      | 09-04-2023
| 9     | ICR0001    | 100      | 15000      | 09-04-2023
| 10    | ANI0001    | 30       | 1000       | 09-04-2023
| 11    | ANI0002    | 35       | 45000      | 09-04-2023
| 12    | FAS0001    | 25       | 50000      | 09-04-2023
| 13    | FAS0002    | 60       | 18000      | 09-04-2023
| 14    | FAS0003    | 60       | 25000      | 09-04-2023
| 15    | FAS0004    | 50       | 22000      | 09-04-2023
| 16    | FAS0005    | 50       | 18000      | 09-04-2023
| 17    | FAS0006    | 55       | 13000      | 09-04-2023
| 18    | FAS0007    | 30       | 36000      | 09-04-2023
| 19    | FAS0008    | 35       | 25000      | 09-04-2023
| 20    | FAS0009    | 30       | 30000      | 09-04-2023
| 21    | MIN0001    | 200      | 6000       | 09-04-2023
| 22    | CAN0001    | 300      | 12000      | 09-04-2023
| 23    | CAN0002    | 250      | 12000      | 09-04-2023
| 24    | BOT0001    | 100      | 14000      | 09-04-2023
| 25    | BOT0002    | 100      | 12000      | 09-04-2023
| 26    | MIL0001    | 100      | 10000      | 09-04-2023
| 27    | MIL0002    | 150      | 8000       | 09-04-2023
| 28    | ACO0001    | 120      | 70000      | 09-04-2023
| 29    | ACO0002    | 120      | 70000      | 09-04-2023
| 30    | COF0001    | 90       | 20000      | 09-04-2023
| 31    | COF0002    | 90       | 15000      | 09-04-2023
| 32    | MTE0001    | 80       | 25000      | 09-04-2023
| 33    | MTE0002    | 80       | 30000      | 09-04-2023
| 34    | TEA0001    | 60       | 25000      | 09-04-2023
| 35    | TEA0002    | 70       | 20000      | 09-04-2023
| 36    | TEA0003    | 60       | 25000      | 09-04-2023
| 37    | JUI0001    | 90       | 65000      | 09-04-2023
| 38    | JUI0002    | 100      | 65000      | 09-04-2023
| 39    | ICE0001    | 20       | 5000       | 09-04-2023
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
